left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
2	3	num.displays6	2517.5	1	NA	1	1
4	5	attention.level.author0	0.0004335	1	NA	2	1
6	7	number.total.disc5	3.5	1	NA	3	1
8	9	avg.disc.length4	127	1	NA	4	1
10	11	contribution.sparseness0	0.0037735	1	NA	5	1
12	13	num.displays7	3948.5	1	NA	6	1
14	15	num.displays1	3326	1	NA	7	1
16	17	num.authors.topic7	24.5	1	NA	8	1
0	0	NA	0	-1	0	9	1
18	19	avg.disc.length5	9	1	NA	10	1
20	21	num.displays2	959.5	1	NA	11	1
22	23	avg.auths.per.disc5	24.916667	1	NA	12	1
24	25	atomic.containers4	134.5	1	NA	13	1
26	27	avg.auths.per.disc7	3.5625	1	NA	14	1
28	29	avg.auths.per.disc2	3.1675825	1	NA	15	1
30	31	num.displays7	1620	1	NA	16	1
0	0	NA	0	-1	1	17	1
0	0	NA	0	-1	1	18	1
0	0	NA	0	-1	0	19	1
32	33	num.displays3	698.5	1	NA	20	1
34	35	avg.auths.per.disc5	9.75	1	NA	21	1
36	37	contribution.sparseness7	0.0064945	1	NA	22	1
0	0	NA	0	-1	1	23	1
38	39	atomic.containers1	10.5	1	NA	24	1
0	0	NA	0	-1	0	25	1
40	41	num.authors.topic4	9.5	1	NA	26	1
42	43	attention.level.contrib0	0.0132155	1	NA	27	1
44	45	attention.level.contrib2	0.007405	1	NA	28	1
46	47	burstiness6	0.8166665	1	NA	29	1
48	49	num.displays1	418.5	1	NA	30	1
50	51	atomic.containers3	25	1	NA	31	1
52	53	auth.increase6	13	1	NA	32	1
54	55	avg.disc.length4	27.75	1	NA	33	1
56	57	avg.auths.per.disc6	4.7083335	1	NA	34	1
58	59	avg.disc.length0	41.75	1	NA	35	1
60	61	contribution.sparseness6	0.001778	1	NA	36	1
62	63	num.displays0	1625.5	1	NA	37	1
64	65	atomic.containers3	52	1	NA	38	1
66	67	avg.disc.length3	6.8333335	1	NA	39	1
68	69	num.displays1	2153	1	NA	40	1
0	0	NA	0	-1	1	41	1
70	71	atomic.containers5	38	1	NA	42	1
0	0	NA	0	-1	0	43	1
72	73	attention.level.author0	0.0070065	1	NA	44	1
74	75	avg.disc.length2	32.8474015	1	NA	45	1
76	77	avg.disc.length0	57.9375	1	NA	46	1
0	0	NA	0	-1	1	47	1
78	79	atomic.containers1	0.5	1	NA	48	1
80	81	num.displays1	419.5	1	NA	49	1
82	83	attention.level.contrib2	0.0037295	1	NA	50	1
0	0	NA	0	-1	0	51	1
84	85	num.authors.topic5	2.5	1	NA	52	1
0	0	NA	0	-1	1	53	1
86	87	avg.auths.per.disc7	25.5	1	NA	54	1
88	89	num.displays3	754	1	NA	55	1
90	91	contribution.sparseness2	0.0116055	1	NA	56	1
92	93	num.displays3	1859	1	NA	57	1
94	95	attention.level.contrib7	0.0013745	1	NA	58	1
96	97	contribution.sparseness6	0.014191	1	NA	59	1
98	99	atomic.containers0	6.5	1	NA	60	1
100	101	num.displays5	2442.5	1	NA	61	1
0	0	NA	0	-1	0	62	1
102	103	num.displays7	2493	1	NA	63	1
104	105	avg.disc.length5	1.5	1	NA	64	1
0	0	NA	0	-1	0	65	1
0	0	NA	0	-1	0	66	1
106	107	auth.increase2	9.5	1	NA	67	1
0	0	NA	0	-1	1	68	1
108	109	contribution.sparseness7	0.004827	1	NA	69	1
0	0	NA	0	-1	1	70	1
0	0	NA	0	-1	1	71	1
110	111	num.authors.topic7	16.5	1	NA	72	1
0	0	NA	0	-1	0	73	1
0	0	NA	0	-1	1	74	1
0	0	NA	0	-1	0	75	1
112	113	num.displays6	162101.5	1	NA	76	1
114	115	avg.disc.length4	28.166667	1	NA	77	1
116	117	num.authors.topic7	9.5	1	NA	78	1
118	119	contribution.sparseness1	0.0093985	1	NA	79	1
0	0	NA	0	-1	0	80	1
120	121	num.displays7	1342.5	1	NA	81	1
122	123	avg.auths.per.disc1	32.25	1	NA	82	1
0	0	NA	0	-1	1	83	1
124	125	avg.auths.per.disc5	72	1	NA	84	1
126	127	auth.increase2	11.5	1	NA	85	1
128	129	avg.disc.length5	115.5	1	NA	86	1
0	0	NA	0	-1	1	87	1
0	0	NA	0	-1	1	88	1
130	131	attention.level.contrib2	0.0006225	1	NA	89	1
132	133	num.new.disc0	0.5	1	NA	90	1
134	135	burstiness7	0.625	1	NA	91	1
136	137	num.new.disc3	5	1	NA	92	1
0	0	NA	0	-1	1	93	1
0	0	NA	0	-1	1	94	1
0	0	NA	0	-1	0	95	1
0	0	NA	0	-1	0	96	1
0	0	NA	0	-1	0	97	1
138	139	num.displays2	1757.5	1	NA	98	1
0	0	NA	0	-1	0	99	1
0	0	NA	0	-1	1	100	1
140	141	contribution.sparseness6	0.0053125	1	NA	101	1
0	0	NA	0	-1	0	102	1
142	143	num.displays0	2971	1	NA	103	1
0	0	NA	0	-1	1	104	1
144	145	avg.disc.length4	13.6666665	1	NA	105	1
146	147	num.new.disc6	6	1	NA	106	1
0	0	NA	0	-1	0	107	1
0	0	NA	0	-1	1	108	1
0	0	NA	0	-1	0	109	1
148	149	auth.increase6	1.5	1	NA	110	1
0	0	NA	0	-1	0	111	1
150	151	avg.disc.length5	5.3375	1	NA	112	1
0	0	NA	0	-1	1	113	1
0	0	NA	0	-1	0	114	1
0	0	NA	0	-1	1	115	1
0	0	NA	0	-1	0	116	1
0	0	NA	0	-1	0	117	1
0	0	NA	0	-1	1	118	1
152	153	num.authors.topic2	1.5	1	NA	119	1
154	155	num.authors.topic3	8.5	1	NA	120	1
156	157	avg.auths.per.disc1	52	1	NA	121	1
158	159	avg.disc.length7	8.25	1	NA	122	1
0	0	NA	0	-1	1	123	1
160	161	num.authors.topic7	3.5	1	NA	124	1
0	0	NA	0	-1	0	125	1
162	163	contribution.sparseness5	0.018645	1	NA	126	1
0	0	NA	0	-1	1	127	1
164	165	num.displays3	733	1	NA	128	1
0	0	NA	0	-1	1	129	1
0	0	NA	0	-1	0	130	1
0	0	NA	0	-1	1	131	1
166	167	attention.level.contrib0	0.0002105	1	NA	132	1
168	169	attention.level.author0	0.000705	1	NA	133	1
170	171	avg.disc.length5	29.5	1	NA	134	1
0	0	NA	0	-1	0	135	1
172	173	attention.level.contrib4	0.0003415	1	NA	136	1
0	0	NA	0	-1	1	137	1
0	0	NA	0	-1	0	138	1
174	175	num.displays4	4376	1	NA	139	1
176	177	num.displays5	3585	1	NA	140	1
178	179	avg.auths.per.disc0	1	1	NA	141	1
180	181	num.authors.topic4	10.5	1	NA	142	1
0	0	NA	0	-1	0	143	1
0	0	NA	0	-1	1	144	1
182	183	num.authors.topic5	13	1	NA	145	1
184	185	num.displays3	18693.5	1	NA	146	1
0	0	NA	0	-1	0	147	1
0	0	NA	0	-1	0	148	1
186	187	contribution.sparseness2	0.0161695	1	NA	149	1
0	0	NA	0	-1	0	150	1
188	189	attention.level.contrib0	0.000199	1	NA	151	1
0	0	NA	0	-1	0	152	1
190	191	contribution.sparseness1	0.0160185	1	NA	153	1
192	193	burstiness3	0.8333335	1	NA	154	1
0	0	NA	0	-1	0	155	1
194	195	avg.auths.per.disc3	7.5	1	NA	156	1
0	0	NA	0	-1	1	157	1
196	197	num.displays0	983.5	1	NA	158	1
198	199	attention.level.contrib3	2.35e-05	1	NA	159	1
0	0	NA	0	-1	0	160	1
0	0	NA	0	-1	0	161	1
0	0	NA	0	-1	0	162	1
0	0	NA	0	-1	0	163	1
0	0	NA	0	-1	0	164	1
0	0	NA	0	-1	0	165	1
0	0	NA	0	-1	0	166	1
0	0	NA	0	-1	1	167	1
0	0	NA	0	-1	1	168	1
0	0	NA	0	-1	0	169	1
0	0	NA	0	-1	0	170	1
0	0	NA	0	-1	0	171	1
0	0	NA	0	-1	0	172	1
0	0	NA	0	-1	0	173	1
0	0	NA	0	-1	1	174	1
0	0	NA	0	-1	0	175	1
0	0	NA	0	-1	0	176	1
0	0	NA	0	-1	0	177	1
0	0	NA	0	-1	1	178	1
0	0	NA	0	-1	0	179	1
0	0	NA	0	-1	1	180	1
0	0	NA	0	-1	0	181	1
0	0	NA	0	-1	1	182	1
0	0	NA	0	-1	1	183	1
0	0	NA	0	-1	1	184	1
0	0	NA	0	-1	0	185	1
0	0	NA	0	-1	1	186	1
0	0	NA	0	-1	0	187	1
0	0	NA	0	-1	1	188	1
0	0	NA	0	-1	1	189	1
0	0	NA	0	-1	0	190	1
0	0	NA	0	-1	0	191	1
0	0	NA	0	-1	0	192	1
0	0	NA	0	-1	0	193	1
0	0	NA	0	-1	0	194	1
0	0	NA	0	-1	0	195	1
