"Position"	"Len"	"Field"	"Description"	"Flag Position"	"Rev*"	"Values"	"Definition"
"1-6"	"6"	"FILLER"	"Filler"	""	""	"Blank"	""
"7"	"1"	"REVISION"	"Revision"	""	"U,R"	"A"	""
""	""	""	""	""	""	""	"Certificate (Revised)"
""	""	""	""	""	""	"S"	""
""	""	""	""	""	""	""	"Certificate (Unrevised)"
"8-14"	"7"	"FILLER"	"Filler"	""	""	"Blank"	""
"15-18"	"4"	"DOB_YY"	"Birth Year"	""	"U,R"	"2009"	""
"19-20"	"2"	"DOB_MM"	"Birth Month"	""	"U,R"	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"11"	""
""	""	""	""	""	""	"12"	""
"21-28"	"8"	"FILLER"	"Filler"	""	""	"Blank"	""
"29"	"1"	"DOB_WK"	"Weekday"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"7"	""
"30-31"	"2"	"OTERR"	"Occurrence Territory"	""	"U,R"	""	""
""	""	""	"(This item is available in the territory file only,"	""	""	""	""
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	""	""
""	""	""	"Outlying Areas of the United States"	""	""	"AS"	""
""	""	""	""	""	""	"GU"	""
""	""	""	""	""	""	"MP"	""
""	""	""	""	""	""	"PR"	""
""	""	""	""	""	""	"VI"	""
"32-36"	"5"	"FILLER"	"Filler"	""	""	"Blank"	""
"37-39"	"3"	"OCNTY"	"Occurrence County"	""	"U,R"	""	""
""	""	""	"(This item is available in the territory file only,"	""	""	""	""
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	""	""
""	""	""	"Puerto Rico"	""	""	"021"	""
""	""	""	""	""	""	"025"	""
""	""	""	""	""	""	"031"	""
""	""	""	""	""	""	"097"	""
""	""	""	""	""	""	"113"	""
""	""	""	""	""	""	"127"	""
""	""	""	""	""	""	"999"	""
""	""	""	"Other Outlying Areas of the United States"	""	""	"000"	""
""	""	""	""	""	""	"999"	""
"40"	"1"	"OCNTYPOP"	"Occurrence County Pop"	""	"U,R"	"0"	""
""	""	""	"(This item is available in the territory file only,"	""	""	"1"	""
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"9"	""
"41"	"1"	"BFACIL"	"Birth Place"	"676"	"R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"7"	""
""	""	""	""	""	""	"9"	""
""	""	""	""	""	""	"Blank"	""
"42"	"1"	"UBFACIL"	"Birth Place"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"9"	""
"43-58"	"16"	"FILLER"	"Filler"	""	""	"Blank"	""
"59"	"1"	"BFACIL3"	"Birth Place Recode"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
"60-86"	"27"	"FILLER"	"Filler"	""	""	"Blank"	""
"87"	"1"	"MAGE_IMPFLG"	"Mother's Age Imputed"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"88"	"1"	"MAGE_REPFLG"	"Reported Age of Mother Flag"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"89-90"	"2"	"MAGER"	"Mother's Single Year of Age"	""	"U,R"	"12"	""
""	""	""	""	""	""	"13"	""
""	""	""	""	""	""	"14"	""
""	""	""	""	""	""	"15"	""
""	""	""	""	""	""	"16"	""
""	""	""	""	""	""	"17"	""
""	""	""	""	""	""	"18"	""
""	""	""	""	""	""	"19"	""
""	""	""	""	""	""	"20"	""
""	""	""	""	""	""	"21"	""
""	""	""	""	""	""	"22"	""
""	""	""	""	""	""	"23"	""
""	""	""	""	""	""	"24"	""
""	""	""	""	""	""	"25"	""
""	""	""	""	""	""	"26"	""
""	""	""	""	""	""	"27"	""
""	""	""	""	""	""	"28"	""
""	""	""	""	""	""	"29"	""
""	""	""	""	""	""	"30"	""
""	""	""	""	""	""	"31"	""
""	""	""	""	""	""	"32"	""
""	""	""	""	""	""	"33"	""
""	""	""	""	""	""	"34"	""
""	""	""	""	""	""	"35"	""
""	""	""	""	""	""	"36"	""
""	""	""	""	""	""	"37"	""
""	""	""	""	""	""	"38"	""
""	""	""	""	""	""	"39"	""
""	""	""	""	""	""	"40"	""
""	""	""	""	""	""	"41"	""
""	""	""	""	""	""	"42"	""
""	""	""	""	""	""	"43"	""
""	""	""	""	""	""	"44"	""
""	""	""	""	""	""	"45"	""
""	""	""	""	""	""	"46"	""
""	""	""	""	""	""	"47"	""
""	""	""	""	""	""	"48"	""
""	""	""	""	""	""	"49"	""
""	""	""	""	""	""	"50"	""
""	""	""	"** Includes births to women aged 50 to 64 years."	""	""	""	""
"91-92"	"2"	"MAGER14"	"Mother's Age Recode 14"	""	"U,R"	"01"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"11"	""
""	""	""	""	""	""	"12"	""
""	""	""	""	""	""	"13"	""
""	""	""	""	""	""	"14"	""
""	""	""	"** Includes births to women aged 50 to 64 years."	""	""	""	""
"93"	"1"	"MAGER9"	"Mother's Age Recode 9"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"7"	""
""	""	""	""	""	""	"8"	""
""	""	""	""	""	""	"9"	""
""	""	""	"** Includes births to women aged 50 to 64 years."	""	""	""	""
"94-95"	"2"	"MBCNTRY"	"Mother's Birth Country"	""	"U,R"	"AA-ZZ"	""
""	""	""	"(This item is available in the territory file only,"	""	""	""	"the Geographic Code Outline, which follows"
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	""	"the record layout."
""	""	""	""	""	""	"YY"	""
""	""	""	""	""	""	"ZZ"	""
""	"**"	"Also includes unrevised territories that use new geographic coding"	""	""	""	""	""
"96-108"	"13"	"FILLER"	"Filler"	""	""	"Blank"	""
"109-110"	"2"	"MRTERR"	"Mother's Residence Territory"	""	"U,R"	""	""
""	""	""	"(This item is available in the territory file only,"	""	""	""	""
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	""	""
""	""	""	"Outlying Areas of the United States"	""	""	"AS"	""
""	""	""	""	""	""	"GU"	""
""	""	""	""	""	""	"MP"	""
""	""	""	""	""	""	"PR"	""
""	""	""	""	""	""	"VI"	""
""	""	""	""	""	""	"US"	""
""	""	""	""	""	""	"XX"	""
""	""	""	""	""	""	"ZZ"	""
"111-113"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"114-116"	"3"	"MRCNTY"	"Mother's County of Residence"	""	"U,R"	""	""
""	""	""	"(This item is available in the territory file only,"	""	""	""	""
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	""	""
""	""	""	"Puerto Rico"	""	""	"021"	""
""	""	""	""	""	""	"025"	""
""	""	""	""	""	""	"031"	""
""	""	""	""	""	""	"097"	""
""	""	""	""	""	""	"113"	""
""	""	""	""	""	""	"127"	""
""	""	""	""	""	""	"999"	""
""	""	""	""	""	""	""	"or foreign resident"
""	""	""	"Other Outlying Areas of the United States"	""	""	"000"	""
""	""	""	""	""	""	"999"	""
""	""	""	""	""	""	""	"or foreign resident"
"117-131"	"15"	"FILLER"	"Filler"	""	""	"Blank"	""
"132"	"1"	"RCNTY_POP"	"Population of Residence County"	""	"U,R"	"0"	""
""	""	""	"(This item is available in the territory file only,"	""	""	"1"	""
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"9"	""
""	""	""	""	""	""	"Z"	""
"133-136"	"4"	"FILLER"	"Filler"	""	""	"Blank"	""
"137"	"1"	"RECTYPE"	"Record Type"	""	"U,R"	"1"	""
""	""	""	"(This item is available in the territory file only,"	""	""	""	"and residence are the same."
""	""	""	"geographic codes are not available in the U.S. file)"	""	""	"2"	""
""	""	""	""	""	""	""	"and residence are different."
"138"	"1"	"RESTATUS"	"Residence Status"	""	"U,R"	""	""
""	""	""	"United States"	""	""	"1"	""
""	""	""	""	""	""	""	"are the same."
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	""	"residence are the same but county is different."
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	""	"residence are different but both are one of the 50 US states"
""	""	""	""	""	""	""	"or District of Columbia."
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	""	"the 50 US states or District of Columbia."
""	""	""	"Outlying Areas of the United States"	""	""	"1"	""
""	""	""	""	""	""	""	"occurrence and residence are the same. (Unique to Guam,"
""	""	""	""	""	""	""	"all US residents are considered residents of Guam and thus"
""	""	""	""	""	""	""	"are assigned 1.)"
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	""	"and residence are the same but county is different."
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	""	"residence are different but both are US Territories."
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	""	"Territory."
"139-140"	"2"	"MBRACE"	"Mother's Bridged Race"	""	"R**"	"01"	""
""	""	""	"Includes only states reporting multiple race. Codes"	""	""	"02"	""
""	""	""	"01-14 used for individuals reporting only one race."	""	""	"03"	""
""	""	""	"Codes 21-24 used for individuals reporting more than"	""	""	"04"	""
""	""	""	"one race that have been bridged to a single race."	""	""	"05"	""
""	""	""	"Code 24 also used for individuals reporting"	""	""	"06"	""
""	""	""	"more than one Asian/Pacific Islander group;"	""	""	"07"	""
""	""	""	"see 'Technical Appendix.'"	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	"** Also includes unrevised states that report multiple"	""	""	"10"	""
""	""	""	"race."	""	""	"11"	""
""	""	""	""	""	""	"12"	""
""	""	""	""	""	""	"13"	""
""	""	""	""	""	""	"14"	""
""	""	""	""	""	""	"21"	""
""	""	""	""	""	""	"22"	""
""	""	""	""	""	""	"23"	""
""	""	""	""	""	""	"24"	""
""	""	""	""	""	""	"Blank"	""
"141-142"	"2"	"MRACE"	"Mother's Race"	""	"U"	""	""
""	""	""	"Includes only states exclusively reporting single"	""	""	""	""
""	""	""	"race. Some areas report additional Asian or"	""	""	""	""
""	""	""	"Pacific Islander (API) codes for race. Codes"	""	""	""	""
""	""	""	"18-68 replace old code 08 for these areas. Code"	""	""	""	""
""	""	""	"78 replaces old code 08 for all other areas. See"	""	""	""	""
""	""	""	"reporting flag at pos.650 for expanded API"	""	""	""	""
""	""	""	"reporting area."	""	""	""	""
""	""	""	"United States"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"18"	""
""	""	""	""	""	""	"28"	""
""	""	""	""	""	""	"38"	""
""	""	""	""	""	""	"48"	""
""	""	""	""	""	""	"58"	""
""	""	""	""	""	""	"68"	""
""	""	""	""	""	""	""	"codes 18-58."
""	""	""	""	""	""	"78"	""
""	""	""	""	""	""	""	"for areas that do not report them separately."
""	""	""	""	""	""	"Blank"	""
""	""	""	"Puerto Rico"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"00"	""
""	""	""	""	""	""	"Blank"	""
""	""	""	"Guam"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"58"	""
""	""	""	""	""	""	"Blank"	""
""	""	""	"All other Outlying Areas of the United States"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
