Position	Len	Field	Description	Flag.Position	Rev.	Values	Definition
7	1	REVISION	Revision	NA	U,R	A	
15-18	4	DOB_YY	Birth Year	NA	U,R	2009	
19-20	2	DOB_MM	Birth Month	NA	U,R	01	
29	1	DOB_WK	Weekday	NA	U,R	1	
30-31	2	OTERR	Occurrence Territory	NA	U,R		
37-39	3	OCNTY	Occurrence County	NA	U,R		
40	1	OCNTYPOP	Occurrence County Pop	NA	U,R	0	
41	1	BFACIL	Birth Place	676	R	1	
42	1	UBFACIL	Birth Place	NA	U,R	1	
59	1	BFACIL3	Birth Place Recode	NA	U,R	1	
87	1	MAGE_IMPFLG	Mother's Age Imputed	NA	U,R	Blank	
88	1	MAGE_REPFLG	Reported Age of Mother Flag	NA	U,R	Blank	
89-90	2	MAGER	Mother's Single Year of Age	NA	U,R	12	
91-92	2	MAGER14	Mother's Age Recode 14	NA	U,R	01	
93	1	MAGER9	Mother's Age Recode 9	NA	U,R	1	
94-95	2	MBCNTRY	Mother's Birth Country	NA	U,R	AA-ZZ	
109-110	2	MRTERR	Mother's Residence Territory	NA	U,R		
114-116	3	MRCNTY	Mother's County of Residence	NA	U,R		
132	1	RCNTY_POP	Population of Residence County	NA	U,R	0	
137	1	RECTYPE	Record Type	NA	U,R	1	
138	1	RESTATUS	Residence Status	NA	U,R		
139-140	2	MBRACE	Mother's Bridged Race	NA	R**	01	
141-142	2	MRACE	Mother's Race	NA	U		
143	1	MRACEREC	Mother's Race Recode	NA	U,R		
144	1	MRACEIMP	Mother's Race Imputed Flag	NA	U,R	Blank	
148	1	UMHISP	Mother's Hispanic Origin	NA			
149	1	MRACEHISP	Mother's Race/Hispanic Origin	NA			
153	1	MAR	Mother's Marital Status	NA	U,R		
154	1	MAR_IMP	Mother's Marital Status Imputed Flag	NA	U,R	Blank	
155	1	MEDUC	Mother's Education	571	R	th	grade or less
156-157	2	DMEDUC	Mother's Education	647	U	00	
158	1	MEDUC_REC	Mother's Education Recode	NA			
175	1	FAGERPT_FLG	Father's Reported Age Used	NA	U,R	Blank	
182-183	2	FAGECOMB	Father's Combined Age (Revised)	NA	R	09-98	
184-185	2	UFAGECOMB	Father's Combined Age	NA	U,R	10-98	
186-187	2	FAGEREC11	Father's Age Recode 11	NA	U,R	01	
188-189	2	FBRACE	Father's Bridged Race	NA	R**	01	
191	1	FRACEREC	Father's Race Recode	NA	U,R		
195	1	UFHISP	Father's Hispanic Origin	NA			
196	1	FRACEHISP	Father's Race/Hisp Origin	NA			
199-200	2	FRACE	Father's Race	NA	U		
212	1	LBO_REC	Live Birth Order Recode	NA	U,R	1-7	
217	1	TBO_REC	Total Birth Order Recode	NA	U,R	1-7	
245-246	2	PRECARE	Month Prenatal Care Began	NA			
247	1	PRECARE_REC	Moth Prenatal Care Began Recode	NA			
256-257	2	MPCB	Month Prenatal Care Began	NA			
258	1	MPCB_REC6	Month Prenatal Care Began Recode 6	NA			
259	1	MPCB_REC5	Month Prenatal Care Began Recode 5	NA			
270-271	2	UPREVIS	Number of Prenatal Visits	NA	U,R	00-49	
272-273	2	PREVIS_REC	Number of Prenatal Visits Recode	NA	U,R	01	
276-277	2	WTGAIN	Weight Gain	648	U,R	00-97	
278	1	WTGAIN_REC	Weight Gain Recode	648	U,R	1	
280	1	DFPC_IMP	Day of Date First Prenatal Care Imputed	NA	R	Blank	
284-285	2	CIG_1	st Trimester	575	R	00-97	
286-287	2	CIG_2	nd Trimester	575	R	00-97	
288-289	2	CIG_3	rd Trimester	575	R	00-97	
290	1	TOBUSE	Tobacco Use	667	U	1	
291-292	2	CIGS	Cigarettes per Day	NA	U	00-97	
