custid	sex	is.employed	income	marital.stat	health.ins	housing.type	recent.move	num.vehicles	age	state.of.res
2068	F	NA	11300	Married	TRUE	Homeowner free and clear	FALSE	2	49	Michigan
2073	F	NA	0	Married	TRUE	Rented	TRUE	3	40	Florida
2848	M	TRUE	4500	Never Married	FALSE	Rented	TRUE	3	22	Georgia
5641	M	TRUE	20000	Never Married	FALSE	Occupied with no rent	FALSE	0	22	New Mexico
6369	F	TRUE	12000	Never Married	TRUE	Rented	TRUE	1	31	Florida
8322	F	TRUE	180000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	1	40	New York
8521	M	TRUE	120000	Never Married	TRUE	Homeowner free and clear	TRUE	1	39	Idaho
12195	M	TRUE	40000	Married	TRUE	Rented	FALSE	3	48	Michigan
14989	M	NA	9400	Married	TRUE	Rented	FALSE	2	44	Illinois
15917	F	TRUE	24000	Divorced/Separated	TRUE	Homeowner free and clear	FALSE	1	70	North Carolina
16551	F	NA	7000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	46	Georgia
17134	M	TRUE	220000	Married	TRUE	Homeowner free and clear	TRUE	2	33	Indiana
17946	F	TRUE	85000	Divorced/Separated	TRUE	Rented	FALSE	1	51	New Hampshire
18487	F	TRUE	89200	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	1	63	Georgia
20383	M	TRUE	170000	Never Married	TRUE	Homeowner with mortgage/loan	TRUE	1	35	South Carolina
22295	M	TRUE	14400	Married	TRUE	Homeowner free and clear	FALSE	3	54	Pennsylvania
25863	M	NA	41000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	1	70	Virginia
26057	M	TRUE	30000	Married	TRUE	NA	NA	NA	28	Florida
26355	M	TRUE	80000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	1	36	New Jersey
27214	M	NA	18800	Married	TRUE	Homeowner free and clear	FALSE	2	68	Ohio
27445	F	TRUE	35000	Never Married	TRUE	Rented	FALSE	2	53	Florida
27761	M	TRUE	24000	Never Married	FALSE	Rented	FALSE	2	33	Illinois
27928	M	TRUE	75000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	58	New York
30768	M	TRUE	80000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	50	New Jersey
31710	F	TRUE	397000	Widowed	TRUE	Homeowner with mortgage/loan	FALSE	2	55	Missouri
33651	F	TRUE	45000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	2	44	California
33828	F	TRUE	24900	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	49	Wisconsin
36825	M	TRUE	17500	Married	FALSE	Rented	FALSE	2	35	South Dakota
37224	M	TRUE	25800	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	48	Colorado
38827	F	NA	9700	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	72	Oklahoma
40132	M	TRUE	22000	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	66	Illinois
40449	M	NA	13000	Married	TRUE	Homeowner free and clear	FALSE	3	84	Kentucky
42374	M	NA	7800	Never Married	TRUE	Homeowner free and clear	FALSE	1	65	Kentucky
46099	M	TRUE	36880	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	2	65	Massachusetts
46791	M	NA	22700	Married	TRUE	Homeowner free and clear	FALSE	2	67	Oklahoma
47009	F	TRUE	34300	Married	TRUE	Rented	FALSE	1	33	New York
48479	M	TRUE	90000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	58	Texas
49496	M	NA	94400	Widowed	TRUE	Homeowner free and clear	FALSE	2	88	Wisconsin
50220	M	NA	22300	Divorced/Separated	TRUE	Rented	FALSE	1	85	Texas
51723	F	NA	15700	Widowed	TRUE	Homeowner free and clear	FALSE	1	78	Ohio
52197	M	NA	65100	Married	TRUE	Homeowner free and clear	FALSE	2	66	Florida
52382	M	TRUE	45050	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	39	Ohio
52420	M	TRUE	46000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	1	57	Florida
52436	F	TRUE	139000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	46	Pennsylvania
53186	F	NA	0	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	61	Pennsylvania
53214	M	TRUE	84010	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	57	New York
