word.freq.make	word.freq.address	word.freq.all	word.freq.3d	word.freq.our	word.freq.over	word.freq.remove	word.freq.internet	word.freq.order	word.freq.mail	word.freq.receive	word.freq.will	word.freq.people	word.freq.report	word.freq.addresses	word.freq.free	word.freq.business	word.freq.email	word.freq.you	word.freq.credit	word.freq.your	word.freq.font	word.freq.000	word.freq.money	word.freq.hp	word.freq.hpl	word.freq.george	word.freq.650	word.freq.lab	word.freq.labs	word.freq.telnet	word.freq.857	word.freq.data	word.freq.415	word.freq.85	word.freq.technology	word.freq.1999	word.freq.parts	word.freq.pm	word.freq.direct	word.freq.cs	word.freq.meeting	word.freq.original	word.freq.project	word.freq.re	word.freq.edu	word.freq.table	word.freq.conference	char.freq.semi	char.freq.lparen	char.freq.lbrack	char.freq.bang	char.freq.dollar	char.freq.hash	capital.run.length.average	capital.run.length.longest	capital.run.length.total	spam	rgroup
0	0.64	0.64	0	0.32	0	0	0	0	0	0	0.64	0	0	0	0.32	0	1.29	1.93	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0	0	3.756	61	278	spam	52
0.21	0.28	0.5	0	0.14	0.28	0.21	0.07	0	0.94	0.21	0.79	0.65	0.21	0.14	0.14	0.07	0.28	3.47	0	1.59	0	0.43	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0	0.372	0.18	0.048	5.114	101	1028	spam	91
0.06	0	0.71	0	1.23	0.19	0.19	0.12	0.64	0.25	0.38	0.45	0.12	0	1.75	0.06	0.06	1.03	1.36	0.32	0.51	0	1.16	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0.12	0	0.06	0.06	0	0	0.01	0.143	0	0.276	0.184	0.01	9.821	485	2259	spam	49
0	0	0	0	0.63	0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0	0	0.31	0	0	3.18	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137	0	0.137	0	0	3.537	40	191	spam	88
0	0	0	0	0.63	0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0	0	0.31	0	0	3.18	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0.135	0	0	3.537	40	191	spam	73
0	0	0	0	1.85	0	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223	0	0	0	0	3	15	54	spam	45
0	0	0	0	1.92	0	0	0	0	0.64	0.96	1.28	0	0	0	0.96	0	0.32	3.85	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.164	0.054	0	1.671	4	112	spam	93
0	0	0	0	1.88	0	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	2.45	11	49	spam	10
0.15	0	0.46	0	0.61	0	0.3	0	0.92	0.76	0.76	0.92	0	0	0	0	0	0.15	1.23	3.53	2	0	0	0.15	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.271	0	0.181	0.203	0.022	9.744	445	1257	spam	60
0.06	0.12	0.77	0	0.19	0.32	0.38	0	0.06	0	0	0.64	0.25	0	0.12	0	0	0.12	1.67	0.06	0.71	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.04	0.03	0	0.244	0.081	0	1.729	43	749	spam	75
0	0	0	0	0	0	0.96	0	0	1.92	0.96	0	0	0	0	0	0	0.96	3.84	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0.462	0	0	1.312	6	21	spam	90
0	0	0.25	0	0.38	0.25	0.25	0	0	0	0.12	0.12	0.12	0	0	0	0	0	1.16	0	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0.044	0	0.663	0	0	1.243	11	184	spam	37
0	0.69	0.34	0	0.34	0	0	0	0	0	0	0.69	0	0	0	0.34	0	1.39	2.09	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0.786	0	0	3.728	61	261	spam	87
0	0	0	0	0.9	0	0.9	0	0	0.9	0.9	0	0.9	0	0	0	0	0	2.72	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.083	7	25	spam	9
0	0	1.42	0	0.71	0.35	0	0.35	0	0.71	0	0.35	0	0	0	5.35	0	0	3.21	0	2.85	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102	0	0.357	0	0	1.971	24	205	spam	5
0	0.42	0.42	0	1.27	0	0.42	0	0	1.27	0	0	0	0	0	1.27	0	0	1.7	0.42	1.27	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	1.27	0	0	0.42	0	0	0	0	0	0	0	0	0	0.063	0	0.572	0.063	0	5.659	55	249	spam	35
0	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	2.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428	0	0	4.652	31	107	spam	54
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.975	0.37	0	35.461	95	461	spam	95
0	0	0.55	0	1.11	0	0.18	0	0	0	0	0	0.92	0	0.18	0	0.37	0.37	3.15	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182	0	0.455	0	0	1.32	4	70	spam	64
0	0.63	0	0	1.59	0.31	0	0	0.31	0	0	0.63	0	0	1.27	0.63	0.31	3.18	2.22	0	1.91	0	0.31	0.63	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	1.59	0	0	0	0	0	0	0	0	0	0.275	0	0.055	0.496	0	3.509	91	186	spam	99
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729	0	0.729	0	0	3.833	9	23	spam	66
0.05	0.07	0.1	0	0.76	0.05	0.15	0.02	0.55	0	0.1	0.47	0.02	0	0	0	0.02	0.13	2.09	0.1	1.57	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.1	0	0	0	0	0	0	0	0	0	0	0	0.042	0.101	0.016	0.25	0.046	0.059	2.569	66	2259	spam	28
0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404	0.404	0	0.809	0	0	4.857	12	34	spam	65
0	0	0	0	1.16	0	0	0	0	0	0	0.58	0	0	0	1.16	0	1.16	1.16	0	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133	0	0.667	0	0	1.131	5	69	spam	59
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44	0	0	0	0	0.196	0	0.392	0.196	0	5.466	22	82	spam	93
0.05	0.07	0.1	0	0.76	0.05	0.15	0.02	0.55	0	0.1	0.47	0.02	0	0	0	0.02	0.13	2.09	0.1	1.57	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.1	0	0	0	0	0	0	0	0	0	0	0	0.042	0.101	0.016	0.25	0.046	0.059	2.565	66	2258	spam	60
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44	0	0	0	0	0.196	0	0.392	0.196	0	5.466	22	82	spam	41
0	0	0	0	0	0	1.66	0	0	0	0	0	0	0	0	0	0	0	3.33	0	0	0	0	3.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368	0	0	2.611	12	47	spam	29
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352	0	0.352	0	0	4	11	36	spam	74
0	0	0	0	0.65	0	0.65	0	0	0	0.65	0.65	0	0	0	0.65	1.3	0	1.3	5.22	1.3	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.459	0	0.091	0	0	2.687	66	129	spam	64
1.17	0	0	0	0	0	0	0	0	0	0	1.17	0	0	0	0	1.17	0	3.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17	0	0	0	0	0	0	0.886	0	0	1.966	10	59	spam	78
0	0	3.03	0	0	0	0	0	0	0	0	0	0	0	0	3.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352	0	2.112	0	0	3.909	11	43	spam	83
0	0	0	0	1.89	0.27	0	0	0	0	0	0.81	0	0	0	0.27	0	0	3.51	0	2.7	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0.091	0	1.39	11	89	spam	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.83	4.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302	0	1.7	5	17	spam	15
0	0.68	0	0	0	0	0	0	0	0.68	1.36	0	0	0	0	0	0	0	2.04	0	0.68	0	0	0	0.68	0	0	0.68	0	0	1.36	0	0	0	0.68	0	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185	0	0	0	3.826	30	264	spam	60
0	0	2.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308	0	1.543	0	0	2.777	6	25	spam	77
0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436	0.436	0	0.873	0	0	4.142	12	29	spam	25
0	0	0.48	0	1.46	0	0.48	0	0	0	0	0.97	0	0	0	0.48	0.97	0	2.43	0	2.43	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0.081	0	0.488	0.244	0	5.431	78	239	spam	42
0	0.48	0.48	0	0.48	0	0	0	0	0	0	0.97	0	0	0	0.48	0	0.97	1.46	0	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.963	0	0	3.1	61	186	spam	34
0	0.41	1.66	0	0.41	0	0	0	0	0	0	0.41	0	0	0	0.41	0	0.83	2.08	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0.068	0	0.75	0	0	3.851	121	285	spam	99
0.3	0	0	0	0.61	0.92	0	2.45	0	0	0	0.3	1.53	0	0	0	0	0.3	2.76	0	0.61	0	0.3	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0.207	0.207	0	2.132	30	226	spam	71
0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335	0.335	0	0.671	0	0	4	12	28	spam	46
0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355	0.355	0	0.711	0	0	4	12	28	spam	65
0	0	0.55	0	1.11	0	0.18	0	0	0	0	0.18	0.92	0	0.18	0	0.37	0.37	3.15	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182	0	0.426	0	0	1.283	4	68	spam	82
0	0	0	0	0.52	0	0.26	0.52	0	0.26	0.26	0.52	0	0	0	0.26	1.56	0.26	1.82	2.08	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0.813	0.036	0.147	2.145	38	339	spam	79
0.15	0.45	1.05	0	0.45	0	0	1.81	0.6	0.75	0	0.9	0.3	0	0.3	0	0	0	4.07	0	1.51	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0.25	0	1.318	0.068	0	5.301	130	774	spam	47
0.18	0	0.18	0	1.57	0.36	0.06	0.06	0.06	0.12	0.06	0.54	0.3	0.06	0	0	0.72	0.06	4.54	0.24	1.09	0	0.84	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0.01	0.052	0	0.01	0.167	0	1.733	12	442	spam	22
0.49	0	0.99	0	0	0.99	0	0	0	0.99	0.99	2.48	0.49	0	0	4.97	0.99	0	3.48	0	1.99	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0.17	0	0	1.468	8	94	spam	63
0.46	0.3	0.46	0	0.05	0.12	0.05	0.28	0.43	0.74	0.25	0.97	0.56	1.23	0	0.25	0.43	0.02	3.22	0	1.46	0	1.05	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.065	0	0.325	0.756	0.153	5.891	193	3040	spam	37
0.46	0.46	0.26	0	0	0.33	0.06	0.33	0	1.12	0.39	0.73	0.79	0	0.26	0.26	0	0.26	3.51	0	0.66	0	0.19	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.084	0	0.278	0.23	0.084	3.887	40	898	spam	51
0	1.92	0	0	1.92	0	0	0	0	0	0	1.92	0	0	0	0	0	0	1.92	0	3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75	12	33	spam	97
0.73	0.36	1.09	0	0	0.73	0.73	1.09	0.36	0.36	0	0.36	0	0	0	1.09	0.36	0.36	2.19	2.19	2.19	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.498	0.332	0	3.254	30	179	spam	60
0.06	0.12	0.77	0	0.19	0.32	0.38	0	0.06	0	0	0.64	0.25	0	0.12	0	0	0.12	1.67	0.06	0.7	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.04	0.03	0	0.244	0.071	0	1.732	43	750	spam	37
0	1.26	0	0	0	1.26	0	0	0	0	0	1.26	0	0	0	0	0	0	0	0	1.26	0	0	1.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26	0	0	0	0	0.198	0	0.198	0.596	0	3.833	17	69	spam	7
0.73	0.36	0.73	0	0	0.73	0.73	1.1	0.36	0.36	0	0.36	0	0	0	1.1	0.36	0.36	2.2	2.2	2.2	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111	0	0.5	0.333	0	3.259	30	176	spam	67
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	0	0	1.08	0	2.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.478	0	0	2	30	106	spam	94
0	0	0	0	0	0	1.04	0	0	0	0	1.04	0	0	0	0	1.04	0	3.66	0	2.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0.246	0	0.615	0.061	0.061	3.318	59	146	spam	0
0	0	1.26	0	0	0	0	0	0	0	0	2.53	0	0	0	0	0	0	2.53	0	5.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.642	8	51	spam	74
0	0.45	0.45	0	0.45	0	0	0	0	0	0	0.45	0	0	0	0.45	0	0.91	1.36	0	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.501	0	0	2.777	61	200	spam	38
0	0.42	1.68	0	0.42	0	0	0	0	0	0	0.42	0	0	0	0.42	0	0.84	2.1	0	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0.066	0	0.669	0	0	3.837	121	284	spam	45
0	0.59	0	0	0	0	0.59	0	0	0.59	0	0.59	0	0	0	0	0	1.18	1.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257	0	0	0	0	8.586	66	249	spam	99
0.23	0	0.47	0	0.23	0	0	0	0	0	0	0	0	0.23	0	0.23	0.23	0	7.1	0	1.89	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71	0	0	0	0.043	0.043	0	0.175	0	0	1.294	11	66	spam	95
0	0	0.46	0	1.39	0	0.93	0.93	0	0	0.46	0.93	0	0	0	1.39	0	0.46	0.93	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0	0	0.069	1.442	8	75	spam	66
