week,Caco2A2BPapp,FractionHumanAbsorption
1,6.06192381877277e-05,1.05560142770453e-15
2,6.06192381877277e-05,3.06401277218923e-13
3,6.06192381877277e-05,8.73703710970407e-14
4,6.06192381877277e-05,7.84784735914146e-11
5,5.46194072373383e-05,3.26973182558253e-07
6,5.37062274035677e-05,6.08036362573576e-09
7,5.30451141419193e-05,1.8438197540828e-10
8,5.24760995783791e-05,5.76846108934237e-09
9,5.24760995783791e-05,9.95899415678705e-08
10,5.06286642857895e-05,8.75778563295308e-09
11,5.06286642857895e-05,0.00373611847283474
12,4.99418893777915e-05,8.09657059514981e-10
13,4.99418893777915e-05,5.4575628248374e-06
14,4.99418893777915e-05,2.03627074263183e-07
15,4.99418893777915e-05,1.73218534900101e-07
16,4.93689479303574e-05,3.61568743758767e-06
17,4.89475934147353e-05,3.65214610639138e-06
18,4.89475934147353e-05,9.39341429885568e-06
19,4.89475934147353e-05,0.543388886191367
20,4.65421186658942e-05,0.00336223539536968
21,4.65421186658942e-05,0.000964640445232682
22,4.65421186658942e-05,0.000354281718709275
23,4.54696582295531e-05,1.17446458445015e-06
24,4.47368342557823e-05,0.00121204574832188
25,4.47368342557823e-05,0.0311962242957628
26,4.15913773911468e-05,0.00138723982525846
27,4.15913773911468e-05,0.439423251265546
28,4.06617106673254e-05,0.0507476259152262
29,3.96593247615725e-05,0.949666662806309
30,3.87454631248876e-05,0.963583325060777
31,3.55862249871599e-05,0.000120898760708124
32,3.55862249871599e-05,0.426527917673247
33,2.43918772984004e-05,8.72734281530606e-07
34,2.43918772984004e-05,0.962778771132958
35,2.41688954662559e-05,0.00203605733946018
36,2.32347103662563e-05,0.0144606347104981
37,2.11411247904581e-05,0.895923456435904
38,2.11411247904581e-05,0.999926545640047
39,2.11411247904581e-05,0.00610160042914293
40,1.80580305069188e-05,0.00144129772347538
41,1.80580305069188e-05,0.252546726357449
42,1.79841920621765e-05,0.0246530287321085
43,1.79841920621765e-05,0.00260194570532465
44,1.79841920621765e-05,0.974744482036333
45,1.39549612156167e-05,0.0437720370124639
46,1.37805820692001e-05,0.0876811364755507
47,1.37805820692001e-05,0.992182996149877
48,1.37805820692001e-05,0.364453348829825
49,1.37805820692001e-05,0.000114826339984673
50,1.37805820692001e-05,0.998456709618013
51,1.37805820692001e-05,0.999559474389101
52,1.37805820692001e-05,0.993006625680398
53,1.00372749938247e-05,0.531982200219101
54,8.89178776411105e-06,0.940627789615243
55,8.89178776411105e-06,1.58747509470351e-05
56,7.42949277471595e-06,0.996579824959923
57,7.42949277471595e-06,0.944198391797832
58,6.87337533693986e-06,0.94686345305745
59,4.40230769981921e-06,0.999377797176074
60,3.18480875206715e-06,0.996759715532949
61,3.18480875206715e-06,0.994955152379204
62,3.18480875206715e-06,0.000386005262394537
63,2.83159762390305e-06,0.995102607812856
64,2.83159762390305e-06,0.178460593340697
65,2.83159762390305e-06,0.520873478935792
66,2.83159762390305e-06,0.537689213506745
67,1.79812278757771e-06,0.0561187615343362
68,1.79812278757771e-06,0.987179476440729
69,1.79812278757771e-06,0.590130094034341
70,1.33673218376408e-06,0.220630623995134
71,1.33673218376408e-06,0.0806148370769783
72,1.33673218376408e-06,0.0406072828429395
73,1.00498097260338e-06,0.000168617724526116
74,7.43912120412779e-07,0.0692309556286689
75,7.43912120412779e-07,0.0171415000805453
76,6.93270651483303e-07,0.793136897552618
77,6.93270651483303e-07,0.0195098461923579
78,6.08394655221838e-07,0.756392981467774
79,3.72601406850083e-07,0.00921356139654765
80,3.72601406850083e-07,0.872692937033922
81,2.71350977837363e-07,0.00722941925133028
82,2.23082488116921e-07,0.998614335854949
83,2.23082488116921e-07,0.0325546389299275
84,1.62416317551769e-07,0.999376130167795
85,1.62416317551769e-07,0.0260475840673345
86,1.62416317551769e-07,0.00627253247545277
87,1.44628141237096e-07,0.976179377301718
88,1.28988476643174e-07,0.375123358485582
89,1.28988476643174e-07,0.057339021455201
90,1.2053644949804e-07,0.146849298283162
91,1.08253915843837e-07,0.997112276388254
92,1.08253915843837e-07,0.592493805832651
93,1.08253915843837e-07,0.984560946041135
94,1.08253915843837e-07,0.0870293522829374
95,1.07537436153647e-07,0.980337533853041
96,1.07537436153647e-07,0.749300158538276
97,9.11867391309851e-08,0.380225198184266
98,6.99386724464744e-08,0.0464777637599466
99,6.99386724464744e-08,0.999975528040332
100,6.99386724464744e-08,0.221225868825009
