buying	maintenance	doors	persons	lug_boot	safety	rating
vhigh	vhigh	2	2	small	med	FALSE
vhigh	vhigh	2	2	med	low	FALSE
vhigh	vhigh	2	2	med	med	FALSE
vhigh	vhigh	2	2	big	low	FALSE
vhigh	vhigh	2	4	med	low	FALSE
vhigh	vhigh	2	4	med	high	FALSE
vhigh	vhigh	2	more	small	med	FALSE
vhigh	vhigh	2	more	med	low	FALSE
vhigh	vhigh	2	more	med	med	FALSE
vhigh	vhigh	2	more	big	med	FALSE
vhigh	vhigh	2	more	big	high	FALSE
vhigh	vhigh	3	2	small	low	FALSE
vhigh	vhigh	3	2	med	low	FALSE
vhigh	vhigh	3	2	med	high	FALSE
vhigh	vhigh	3	2	big	low	FALSE
vhigh	vhigh	3	4	med	med	FALSE
vhigh	vhigh	3	4	med	high	FALSE
vhigh	vhigh	3	4	big	low	FALSE
vhigh	vhigh	3	more	small	med	FALSE
vhigh	vhigh	3	more	med	med	FALSE
vhigh	vhigh	3	more	big	low	FALSE
vhigh	vhigh	4	2	small	low	FALSE
vhigh	vhigh	4	2	med	high	FALSE
vhigh	vhigh	4	2	big	med	FALSE
vhigh	vhigh	4	2	big	high	FALSE
vhigh	vhigh	4	4	small	med	FALSE
vhigh	vhigh	4	4	small	high	FALSE
vhigh	vhigh	4	4	med	high	FALSE
vhigh	vhigh	4	4	big	low	FALSE
vhigh	vhigh	4	4	big	med	FALSE
vhigh	vhigh	4	4	big	high	FALSE
vhigh	vhigh	4	more	small	low	FALSE
vhigh	vhigh	4	more	med	med	FALSE
vhigh	vhigh	4	more	med	high	FALSE
vhigh	vhigh	4	more	big	med	FALSE
vhigh	vhigh	4	more	big	high	FALSE
vhigh	vhigh	5more	2	small	low	FALSE
vhigh	vhigh	5more	2	med	med	FALSE
vhigh	vhigh	5more	2	med	high	FALSE
vhigh	vhigh	5more	2	big	low	FALSE
vhigh	vhigh	5more	2	big	med	FALSE
vhigh	vhigh	5more	2	big	high	FALSE
vhigh	vhigh	5more	4	small	low	FALSE
vhigh	vhigh	5more	4	small	med	FALSE
vhigh	vhigh	5more	4	med	low	FALSE
vhigh	vhigh	5more	4	med	med	FALSE
vhigh	vhigh	5more	4	med	high	FALSE
vhigh	vhigh	5more	4	big	low	FALSE
vhigh	vhigh	5more	4	big	med	FALSE
vhigh	vhigh	5more	4	big	high	FALSE
vhigh	vhigh	5more	more	small	low	FALSE
vhigh	vhigh	5more	more	small	med	FALSE
vhigh	vhigh	5more	more	med	low	FALSE
vhigh	vhigh	5more	more	med	high	FALSE
vhigh	vhigh	5more	more	big	med	FALSE
vhigh	vhigh	5more	more	big	high	FALSE
vhigh	high	2	2	small	low	FALSE
vhigh	high	2	2	med	med	FALSE
vhigh	high	2	2	med	high	FALSE
vhigh	high	2	2	big	low	FALSE
vhigh	high	2	2	big	med	FALSE
vhigh	high	2	2	big	high	FALSE
vhigh	high	2	4	small	low	FALSE
vhigh	high	2	4	small	med	FALSE
vhigh	high	2	4	small	high	FALSE
vhigh	high	2	4	med	low	FALSE
vhigh	high	2	4	med	med	FALSE
vhigh	high	2	4	big	low	FALSE
vhigh	high	2	4	big	med	FALSE
vhigh	high	2	more	small	high	FALSE
vhigh	high	2	more	med	high	FALSE
vhigh	high	2	more	big	low	FALSE
vhigh	high	3	2	small	low	FALSE
vhigh	high	3	2	small	med	FALSE
vhigh	high	3	2	med	low	FALSE
vhigh	high	3	2	med	high	FALSE
vhigh	high	3	2	big	low	FALSE
vhigh	high	3	2	big	med	FALSE
vhigh	high	3	2	big	high	FALSE
vhigh	high	3	4	small	low	FALSE
vhigh	high	3	4	small	med	FALSE
vhigh	high	3	4	small	high	FALSE
vhigh	high	3	4	med	med	FALSE
vhigh	high	3	4	med	high	FALSE
vhigh	high	3	more	small	med	FALSE
vhigh	high	3	more	med	low	FALSE
vhigh	high	3	more	med	high	FALSE
vhigh	high	4	2	small	med	FALSE
vhigh	high	4	2	small	high	FALSE
vhigh	high	4	2	med	low	FALSE
vhigh	high	4	2	big	high	FALSE
vhigh	high	4	4	small	low	FALSE
vhigh	high	4	4	small	med	FALSE
vhigh	high	4	4	med	low	FALSE
vhigh	high	4	4	big	low	FALSE
vhigh	high	4	4	big	high	FALSE
vhigh	high	4	more	small	low	FALSE
vhigh	high	4	more	small	med	FALSE
vhigh	high	4	more	med	low	FALSE
vhigh	high	4	more	big	low	FALSE
vhigh	high	4	more	big	high	FALSE
vhigh	high	5more	2	small	low	FALSE
vhigh	high	5more	2	small	high	FALSE
vhigh	high	5more	2	med	med	FALSE
vhigh	high	5more	2	big	low	FALSE
vhigh	high	5more	2	big	med	FALSE
vhigh	high	5more	4	small	low	FALSE
vhigh	high	5more	4	small	med	FALSE
vhigh	high	5more	4	small	high	FALSE
vhigh	high	5more	4	big	low	FALSE
vhigh	high	5more	more	small	med	FALSE
vhigh	high	5more	more	med	low	FALSE
vhigh	high	5more	more	med	med	FALSE
vhigh	high	5more	more	big	med	FALSE
vhigh	med	2	2	small	low	FALSE
vhigh	med	2	2	small	med	FALSE
vhigh	med	2	2	med	low	FALSE
vhigh	med	2	2	med	high	FALSE
vhigh	med	2	2	big	med	FALSE
vhigh	med	2	2	big	high	FALSE
vhigh	med	2	4	med	low	FALSE
vhigh	med	2	4	med	high	TRUE
vhigh	med	2	4	big	low	FALSE
vhigh	med	2	4	big	med	TRUE
vhigh	med	2	more	small	low	FALSE
vhigh	med	2	more	small	med	FALSE
vhigh	med	2	more	med	low	FALSE
vhigh	med	3	2	small	low	FALSE
vhigh	med	3	2	small	med	FALSE
vhigh	med	3	2	small	high	FALSE
vhigh	med	3	2	med	med	FALSE
vhigh	med	3	2	med	high	FALSE
vhigh	med	3	2	big	med	FALSE
vhigh	med	3	2	big	high	FALSE
vhigh	med	3	4	small	med	FALSE
vhigh	med	3	4	small	high	TRUE
vhigh	med	3	4	big	med	TRUE
vhigh	med	3	more	small	low	FALSE
vhigh	med	3	more	med	low	FALSE
vhigh	med	3	more	med	high	TRUE
vhigh	med	3	more	big	low	FALSE
vhigh	med	4	2	small	low	FALSE
vhigh	med	4	2	med	low	FALSE
vhigh	med	4	2	big	high	FALSE
vhigh	med	4	4	small	low	FALSE
vhigh	med	4	4	small	high	TRUE
vhigh	med	4	4	med	low	FALSE
vhigh	med	4	4	med	med	TRUE
vhigh	med	4	4	big	low	FALSE
vhigh	med	4	4	big	med	TRUE
vhigh	med	4	more	small	low	FALSE
vhigh	med	4	more	small	high	TRUE
vhigh	med	4	more	med	low	FALSE
vhigh	med	4	more	med	high	TRUE
vhigh	med	4	more	big	low	FALSE
vhigh	med	4	more	big	high	TRUE
vhigh	med	5more	2	small	low	FALSE
vhigh	med	5more	2	med	low	FALSE
vhigh	med	5more	2	med	med	FALSE
vhigh	med	5more	2	big	low	FALSE
vhigh	med	5more	2	big	high	FALSE
vhigh	med	5more	4	small	low	FALSE
vhigh	med	5more	4	small	high	TRUE
vhigh	med	5more	4	med	low	FALSE
